Life expectancy,Year,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling
68,2009,314,7,3.5,0,75,1,23.9,11,76,2.3,78,4,6938.3,13452239.1,8.3,7.9,0.5,10.3
59.4,2008,338,8,2.6,0,73,2,23.3,11,77,2.9,79,4.3,6938.3,13452239.1,8.4,8,0.5,10
58.2,2007,354,8,2.8,0,64,84,22.8,11,71,2.5,72,5,6938.3,13452239.1,8.5,8.2,0.5,9.8
56.9,2006,368,8,2.3,0,79.5,126,22.3,12,73,2.4,73,5.5,6938.3,13452239.1,8.7,8.3,0.5,9.6
55.3,2005,394,8,2,0,79.5,146,21.7,13,62,2.4,62,5.9,6938.3,13452239.1,8.8,8.5,0.5,9.4
54.1,2004,48,9,2.6,0,79.5,3524,21.2,13,67,2.6,67,6.3,6938.3,13452239.1,9,8.6,0.5,9.2
53.2,2003,417,9,2.5,0,79.5,3712,2.7,14,5,2.6,5,6.8,6938.3,13452239.1,9.1,8.8,0.5,9.4
52.6,2002,424,9,2.6,0,79.5,2788,2.3,14,41,2.5,41,7.2,6938.3,13452239.1,9.3,8.9,0.5,9.5
52.7,2001,419,9,2.3,0,79.5,2152,19.8,14,32,2.4,31,7.6,6938.3,13452239.1,9.4,9,0.5,9.7
52.9,2000,416,9,2.3,0,79.5,1678,19.3,14,31,2.1,33,7.8,6938.3,13452239.1,9.5,9.2,0.5,9.8
69.3,2013,168.8,0,0,0,98,0,82.8,0,98,3.6,98,0.1,6938.3,13452239.1,0.1,0.1,0.6,12.2
79.6,2015,95,1,4.3,0,92,0,6.5,1,92,6.1,92,0.1,1146.4,487852,1.7,1.7,0.8,14.2
79.5,2014,96,1,3.5,384.5,91,1,59.5,1,91,9.3,91,0.1,1647.4,4757575,1.7,1.7,0.8,13.9
79.4,2013,96,1,3.4,386.1,94,0,58.5,1,95,9.5,95,0.1,1569.7,47641,1.7,1.7,0.8,13.7
79.2,2012,97,1,3.3,2568.2,91,0,57.5,1,9,9.6,91,0.1,9985.4,4654122,1.8,1.7,0.8,13.6
79,2011,98,1,3.4,2429.9,84,0,56.5,1,82,9.7,85,0.1,9186.6,46474,1.8,1.7,0.8,13.4
78.1,2010,16,1,3.6,2377,89,0,55.5,1,93,9.7,88,0.1,8199.4,454528,1.8,1.8,0.7,13.3
79.2,2009,96,1,4.1,24.9,87,0,54.4,1,8,9.7,86,0.1,689.4,4488263,1.9,1.8,0.7,13.1
78.9,2008,99,1,4.2,1859.1,89,0,53.4,1,89,9.1,9,0.1,6911.1,442958,1.9,1.8,0.7,12.9
78.9,2007,93,1,4.2,150.9,89,0,52.4,1,89,8.4,89,0.1,612.6,4369469,1.9,1.9,0.7,12.8
78,2006,16,1,4.2,1185.4,88,0,51.4,1,89,7.8,89,0.1,5245.2,438794,2,1.9,0.7,12.6
78.6,2005,97,1,4.1,1002.8,9,1,5.3,1,91,7.7,91,0.1,4697.1,4247841,2,2,0.7,12.4
77.7,2004,12,1,4.1,1043.1,89,0,49.3,1,9,7.8,9,0.1,4425.6,418738,2.1,2,0.7,12.2
78,2003,1,1,4,1070.3,86,1,48.3,1,88,8.5,88,0.1,4167.7,4125971,2.2,2.1,0.7,12.1
78.3,2002,99,1,4.2,112.9,94,0,47.3,1,94,8.2,94,0.1,462.1,46324,2.2,2.2,0.7,11.9
77.5,2001,1,1,4.3,868.4,8,0,46.4,1,92,7.3,91,0.1,3981.5,3996798,2.3,2.2,0.7,11.7
77.6,2000,98,1,4.3,94.2,89,0,45.4,1,8,7.1,88,0.1,388.4,3925443,2.4,2.3,0.7,11.6
78,2015,95,0,4.3,0,94,206,63.7,0,94,6.1,94,0.1,11579.7,42364,1.5,1.4,0.8,15.3
77.8,2014,97,0,12.1,1884.1,95,0,63.1,0,95,7.8,95,0.1,13467.5,4238389,1.5,1.5,0.8,15.1
77.7,2013,97,0,12.4,1899.1,96,0,62.5,0,96,7.8,96,0.1,13574.7,4255689,1.5,1.5,0.8,14.9
77.1,2012,14,0,11.5,1851.7,98,2,61.9,0,96,7.8,96,0.1,13236,4267558,1.5,1.5,0.8,14.6
77,2011,14,0,12.2,1913.4,97,12,61.3,0,96,7.8,96,0.1,14539.2,428622,1.6,1.5,0.8,14.5
76.6,2010,16,0,12.1,206.9,97,7,6.6,0,97,8.3,97,0.1,1355.7,4417781,1.6,1.6,0.8,14.2
76.3,2009,19,0,12.2,2160.4,97,2,6,0,96,8.2,96,0.1,14157.1,442978,1.7,1.6,0.8,14.2
76,2008,116,0,12.1,2425.4,97,51,59.4,0,96,7.7,96,0.1,15893.9,443458,1.7,1.7,0.8,14.3
75.8,2007,114,0,12.6,2019.8,95,0,58.7,0,96,7.4,96,0.1,13546.7,4436,1.8,1.7,0.8,14.3
75.9,2006,113,0,11.8,1555.7,79.5,1,58.1,0,96,7,96,0.1,11363.4,444,1.8,1.8,0.8,13.9
75.2,2005,116,0,11.6,167.2,79.5,2,57.5,0,96,6.9,96,0.1,1224.2,4442,1.8,1.8,0.8,13.6
75.4,2004,114,0,13.1,1116.4,79.5,54,56.9,0,96,6.6,96,0.1,9365.7,4439,1.9,1.9,0.8,13.3
74.7,2003,122,0,13.8,93.7,79.5,19,56.3,0,95,6.4,94,0.1,785.9,444,1.9,1.9,0.8,12.9
74.8,2002,124,0,13.4,11.6,79.5,6,55.8,0,95,6.2,95,0.1,653.7,444,2,2,0.8,12.6
74.9,2001,126,0,13.2,651,79.5,8,55.2,0,94,7.2,94,0.1,5245.4,444,2,2,0.7,12.3
74.7,2000,127,0,12.7,649.4,79.5,9,54.7,0,94,7.7,93,0.1,4919.6,4426,2.1,2.1,0.7,12.2
79.1,2015,92,1,4.3,0,99,0,61.4,1,99,6.1,99,0.1,762.3,13452239.1,3.5,3.3,0.8,13.9
79,2014,93,1,4.4,13.7,97,0,6.7,1,99,11.6,99,0.1,75.5,13452239.1,3.4,3.3,0.8,14
78.7,2013,96,1,4.2,95.7,96,0,59.9,1,99,9.5,99,0.1,676.2,13452239.1,3.4,3.3,0.8,14.7
78.7,2012,96,1,4.2,742.2,96,0,59.2,1,98,8.6,99,0.1,6425.9,13452239.1,3.4,3.2,0.8,15.7
78.8,2011,92,1,4.1,102.1,96,0,58.4,1,99,1.6,97,0.1,675.9,13452239.1,3.4,3.2,0.8,16.5
78,2010,98,1,4.1,787.3,96,0,57.7,1,99,1.2,96,0.1,5676.1,13452239.1,3.4,3.2,0.8,17.6
78.1,2009,11,1,4,818.9,96,0,56.9,1,99,11.8,96,0.1,5484.8,13452239.1,3.4,3.2,0.8,17.7
77.9,2008,12,1,4.3,708.6,95,0,56.2,1,99,1.8,95,0.1,5376.4,13452239.1,3.4,3.2,0.8,17.1
78.1,2007,14,1,4.1,750.7,93,0,55.4,1,99,1.4,93,0.1,5184.5,13452239.1,3.4,3.2,0.8,16
78,2006,14,1,4.2,523.5,89,0,54.6,1,99,7.7,89,0.1,4669.7,13452239.1,3.4,3.2,0.7,14.7
77.2,2005,19,1,4.5,518.9,95,0,53.8,1,99,9.4,89,0.1,3779.6,13452239.1,3.4,3.3,0.7,14.2
77.3,2004,17,1,4.4,4.5,99,0,53,1,98,6.1,88,0.1,339.7,13452239.1,3.4,3.3,0.7,13.2
77.4,2003,18,1,4.4,60.3,99,0,52.1,1,98,6.3,72,0.1,3192.7,13452239.1,3.5,3.3,0.7,12.9
77.7,2002,19,1,4.1,334.8,98,0,51.3,1,98,6.5,99,0.1,2994.3,13452239.1,3.5,3.3,0.7,12.5
76.7,2001,115,1,4,322.6,98,0,5.4,1,99,6.3,98,0.1,2832.2,13452239.1,3.6,3.4,0.7,12.3
76.9,2000,115,1,3.9,49.3,98,0,49.4,1,98,6.7,95,0.1,2741.1,13452239.1,3.6,3.4,0.7,12.1
85,2015,52,0,4.3,0,97,0,6.3,0,97,6.1,97,0.1,2375.1,116985,1,1,0.9,14.3
83,2014,53,0,0,207.3,96,10,59.8,0,99,7.4,99,0.1,2734.9,115239,0.9,1,0.9,14
81,2013,54,0,9,212.1,96,0,59.2,0,99,7.5,99,0.1,2798,1143896,0.9,1,0.9,13.8
80,2012,56,0,10.6,2159.8,96,1,58.7,0,99,7.4,99,0.1,28951.2,113562,0.9,1,0.9,13.8
79.7,2011,57,0,10.7,2443.3,96,0,58.3,0,99,7.5,99,0.1,32233.8,1124835,0.9,1,0.8,13.8
79.5,2010,59,0,11.3,283.3,96,18,57.8,0,99,7.2,99,0.1,3818.5,111267,0.9,1,0.9,14.6
79.3,2009,6,0,10.8,230.3,96,0,57.3,0,99,7.4,99,0.1,3215.8,19876,0.9,1,0.8,14.1
79.1,2008,62,0,12,239.6,93,1,56.8,0,97,6.9,97,0.1,3539.7,181563,0.9,1,0.8,13.7
78.9,2007,63,0,11.6,1958.5,93,0,56.3,0,97,6.5,97,0.1,31386.6,163712,0.9,1,0.8,13.5
78.8,2006,64,0,11.5,1700.8,93,0,55.8,0,97,6.3,97,0.1,27170,14559,0.9,1,0.8,13.4
78.7,2005,65,0,11.4,1562.5,88,1,55.3,0,98,6.4,98,0.1,25324.5,127658,0.9,1,0.8,13.5
78.6,2004,65,0,13,1586.7,88,0,54.8,0,98,6.4,98,0.1,23932.5,1141,0.9,1,0.8,13.4
78.5,2003,66,0,10.6,158.7,88,0,54.3,0,98,6.8,98,0.1,2293.5,993563,0.9,1,0.8,13
78.4,2002,68,0,11.7,1128.1,88,0,53.8,0,98,6.1,98,0.1,16372.3,976966,0.9,1,0.8,12.5
78.2,2001,69,0,10.2,100.8,89,0,53.3,0,97,5.8,97,0.1,1562.9,96282,0.9,1,0.8,12.4
78.1,2000,7,0,9.6,950.8,89,0,52.8,0,97,5.8,97,0.1,14672.9,943286,0.9,1,0.8,12.5
78.8,2015,86,0,4.3,0,97,9,66.1,0,97,6.1,97,0.1,6938.3,13452239.1,1.8,1.8,0.6,12.2
78.6,2014,88,0,12.7,0,99,222,65.6,0,99,7.4,97,0.1,6938.3,13452239.1,1.8,1.9,0.6,12.2
78.2,2013,9,0,12.5,0,99,15,65.1,0,99,7.5,98,0.1,6938.3,13452239.1,1.8,1.9,0.6,12.2
78,2012,93,0,12.7,0,99,22,64.5,0,99,7.6,99,0.1,6938.3,13452239.1,1.8,1.9,0.6,12.2
77.8,2011,97,0,12.4,0,99,17,64,0,99,7.5,99,0.1,6938.3,13452239.1,1.9,1.9,0.6,12.2
77.5,2010,99,0,12.7,0,99,0,63.6,0,99,7.4,99,0.1,6938.3,13452239.1,1.9,2,0.6,12.2
77.1,2009,12,0,13.2,0,99,5,63.1,0,99,7.9,99,0.1,6938.3,13452239.1,1.9,2,0.6,12.2
77,2008,16,0,13.3,0,99,2,62.6,0,99,6.8,99,0.1,6938.3,13452239.1,1.9,2,0.6,12.2
76.8,2007,17,0,13.4,0,99,2,62.2,0,99,6.5,99,0.1,6938.3,13452239.1,2,2.1,0.6,12.2
76.5,2006,19,0,13,0,98,7,61.8,0,98,6.7,98,0.1,6938.3,13452239.1,2,2.1,0.6,12.2
75.9,2005,114,0,13.2,0,99,0,61.3,0,96,6.9,97,0.1,6938.3,13452239.1,2.1,2.1,0.6,12.2
75.8,2004,116,0,13.2,0,98,17,6.8,0,96,6.9,98,0.1,6938.3,13452239.1,2.1,2.2,0.6,12.2
75.2,2003,122,0,13,0,92,30,6.4,0,97,7.1,97,0.1,6938.3,13452239.1,2.2,2.2,0.6,12.2
75.3,2002,12,0,13.5,0,86,4,59.9,0,97,6.8,98,0.1,6938.3,13452239.1,2.2,2.3,0.6,12.2
75.1,2001,123,0,13.4,0,79.5,6,59.4,0,97,6.4,98,0.1,6938.3,13452239.1,2.2,2.3,0.6,12.2
74.7,2000,126,0,13.2,0,79.5,9,59,0,98,6.3,98,0.1,6938.3,13452239.1,2.3,2.3,0.6,12.2
76,2015,139,6,4.3,0,96,0,32.9,7,99,6.1,96,0.1,6938.3,13452239.1,4.9,4.9,0.6,12.2
73,2014,142,6,0,0,93,3,32.4,8,99,6.1,93,0.1,6938.3,13452239.1,4.9,4.9,0.6,12.2
71,2013,146,6,3.4,0,93,0,31.8,8,99,6.1,93,0.1,6938.3,13452239.1,5,5,0.6,12.2
69.8,2012,149,7,3.6,0,96,0,31.3,9,99,6.1,96,0.1,6938.3,13452239.1,5.1,5.1,0.6,12.2
69.4,2011,153,8,3.4,0,94,0,3.8,10,99,6.1,94,0.1,6938.3,13452239.1,5.1,5.2,0.6,12.2
69,2010,157,8,3.1,0,93,0,3.3,10,99,6.1,93,0.1,6938.3,13452239.1,5.2,5.2,0.6,12.2
68.7,2009,161,9,3.4,0,93,0,29.7,11,98,6.1,93,0.1,6938.3,13452239.1,5.3,5.3,0.6,12.2
68.6,2008,164,9,3.2,0,92,8,29.2,12,98,6.1,92,0.1,6938.3,13452239.1,5.4,5.4,0.6,12.2
68.5,2007,166,9,3.1,0,92,3550,28.7,12,99,6.1,92,0.1,6938.3,13452239.1,5.5,5.5,0.6,12.2
68.5,2006,165,10,3.3,0,96,0,28.2,12,98,6.1,89,0.1,6938.3,13452239.1,5.6,5.6,0.6,12.2
68.5,2005,165,10,3.2,0,92,0,27.7,13,97,6.1,79,0.1,6938.3,13452239.1,5.7,5.7,0.6,12.2
68.4,2004,165,11,3.1,0,98,0,27.2,14,99,6.1,72,0.1,6938.3,13452239.1,5.7,5.7,0.6,12.2
68.1,2003,165,12,3.1,0,27,0,26.7,15,99,6.1,68,0.1,6938.3,13452239.1,5.8,5.8,0.6,12.2
67.6,2002,167,14,3.1,0,79.5,0,26.2,18,99,6.1,64,0.1,6938.3,13452239.1,5.9,5.9,0.6,12.2
66.6,2001,177,16,2.5,0,79.5,0,25.7,21,98,6.1,62,0.1,6938.3,13452239.1,5.9,6,0.6,12.2
65.4,2000,192,18,3.5,0,79.5,0,25.2,25,93,6.1,56,0.1,6938.3,13452239.1,6,6,0.6,12.2
59.8,2015,258,236,4.3,0,81,5020,21.6,308,78,6.1,81,1.1,6938.3,13452239.1,9.5,9.3,0.6,12.2
59.3,2014,266,237,0,0,8,33711,21.1,312,79,4.3,8,1.1,6938.3,13452239.1,9.7,9.5,0.6,12.2
58.8,2013,272,238,0,0,74,88381,2.6,314,74,3.9,74,1.2,6938.3,13452239.1,9.9,9.6,0.6,12.2
58.3,2012,277,239,0,0,75,72029,2.1,317,76,3.8,75,1.5,6938.3,13452239.1,1,9.8,0.6,12.2
57.9,2011,278,239,1.8,0,74,133802,19.6,319,77,3.5,74,1.6,6938.3,13452239.1,1.2,1,0.6,12.2
57.4,2010,283,239,1.8,0,6,5407,19.1,321,76,4.4,6,1.6,6938.3,13452239.1,1.4,1.2,0.6,12.2
56.7,2009,292,238,2.1,0,72,57,18.6,323,78,5.6,72,1.7,6938.3,13452239.1,1.6,1.4,0.6,12.2
56.3,2008,295,237,2.1,0,65,12461,18.2,324,64,4.5,65,1.8,6938.3,13452239.1,1.8,1.7,0.6,12.2
55.7,2007,299,236,1.5,0,7,55577,17.8,326,72,3.6,7,1.9,6938.3,13452239.1,11.1,1.9,0.6,12.2
55,2006,36,235,1.5,0,79.5,80123,17.3,327,62,3.4,62,2,6938.3,13452239.1,11.3,11.1,0.6,12.2
54.3,2005,314,233,1.4,0,79.5,182485,16.9,329,6,3.1,6,2,6938.3,13452239.1,11.5,11.3,0.6,12.2
53.5,2004,323,232,1.4,0,79.5,44934,16.5,330,52,3.3,54,2.1,6938.3,13452239.1,11.7,11.5,0.6,12.2
52.8,2003,332,231,1.8,0,79.5,21956,16.1,331,47,3.2,41,2.2,6938.3,13452239.1,11.9,11.7,0.6,12.2
52.1,2002,341,229,1.9,0,79.5,30466,15.7,331,4,2.6,38,2.4,6938.3,13452239.1,12.1,11.9,0.6,12.2
51.8,2001,34,227,1.9,0,79.5,8072,15.3,332,3,2.7,3,2.4,6938.3,13452239.1,12.2,12.1,0.6,12.2
51.3,2000,346,226,2,0,79.5,8282,14.9,332,42,1.5,4,2.5,6938.3,13452239.1,12.4,12.3,0.6,12.2
86,2015,71,0,4.3,0,79.5,9,58.8,0,93,6.1,93,0.1,5314.6,5683483,1.1,0.9,0.9,19.2
84,2014,73,0,9.6,10468.8,79.5,27,58.4,0,94,1.8,94,0.1,62425.5,5643475,1.1,0.9,0.9,19.2
81,2013,75,0,9.5,10261.8,79.5,17,58.1,0,94,11.3,94,0.1,61191.2,5614932,1.1,0.9,0.9,18.7
80,2012,76,0,9.3,928.4,79.5,2,57.7,0,94,2,94,0.1,5857.5,5591572,1.1,0.9,0.9,18.4
79.7,2011,79,0,10.5,10251.1,79.5,84,57.4,0,91,1.9,91,0.1,61753.7,557572,1.1,0.9,0.9,16.9
79.2,2010,84,0,10.3,954.5,79.5,5,57,0,9,11.8,9,0.1,5841.4,5547683,1.1,0.9,0.9,16.8
78.9,2009,86,0,10.1,9765.6,79.5,6,56.6,0,89,11.5,89,0.1,58163.3,552395,1.1,0.9,0.9,16.8
78.8,2008,88,0,10.7,10761.2,79.5,14,56.3,0,88,1.2,88,0.1,64322.7,5493621,1.1,0.9,0.9,16.8
78.4,2007,93,0,11,9703.1,79.5,2,55.9,0,87,10,87,0.1,58487.5,5461438,1.2,0.9,0.9,16.7
78.1,2006,93,0,11,851,79.5,27,55.4,0,93,9.9,93,0.1,5227,5437272,1.2,0.9,0.9,16.9
78.1,2005,92,0,11.3,7627.4,79.5,2,55,0,93,9.8,93,0.1,48799.8,5419432,1.2,1,0.9,16.6
77.7,2004,98,0,11.3,6948.8,79.5,0,54.4,0,95,9.7,95,0.1,46511.6,544523,1.2,1,0.9,16.5
77.3,2003,11,0,11.5,651,79.5,0,53.9,0,96,9.5,96,0.1,4458.8,539574,1.2,1,0.9,16.3
77,2002,14,0,11.3,4801.5,79.5,32,53.3,0,98,9.3,98,0.1,33228.7,5375931,1.2,1,0.9,16.6
77,2001,12,0,11.6,530.5,79.5,11,52.8,0,97,9.1,97,0.1,3751.6,5358783,1.3,1,0.9,16.2
76.9,2000,12,0,11.7,508.7,79.5,14,52.2,0,97,8.7,97,0.1,3743.6,5339616,1.3,1,0.9,16.5
63.5,2015,241,1,4.3,0,84,47,35,1,84,6.1,84,2.1,1862.2,927414,5.6,5.4,0.5,6.3
63,2014,252,1,0.4,24.7,78,0,34.4,1,78,1.6,78,2.1,174.9,912164,5.6,5.4,0.5,6.3
62.7,2013,256,1,0.5,229.4,82,28,33.8,2,82,9.1,82,2.1,1622.6,896688,5.6,5.4,0.5,6.3
62.2,2012,263,1,0.5,217.2,81,709,33.2,2,81,9,81,1.9,1536.2,881185,5.6,5.5,0.5,6.3
61.8,2011,268,1,0.4,20.4,87,49,32.7,2,87,8.7,87,2.7,144,865937,5.6,5.5,0.5,5.9
61.3,2010,273,1,0.4,187.5,88,7,32.2,2,88,8.8,88,3.1,1326,851146,5.6,5.6,0.4,5.5
69,2009,279,1,0.5,177.3,89,48,31.7,2,89,8.4,89,3.2,1253.7,83684,5.7,5.6,0.4,5.3
62,2008,289,1,0.5,171.8,88,143,31.3,2,89,8.5,89,3.3,1214.8,822934,5.7,5.6,0.4,5
59.8,2007,296,1,0.5,20.9,25,24,3.9,2,88,7.7,88,3.5,147.6,8942,5.8,5.7,0.4,4.5
59.1,2006,39,2,1,121.5,79.5,49,3.6,2,72,7.5,72,3.7,965.7,79628,5.8,5.7,0.4,4.3
58.6,2005,318,2,1.2,12.7,79.5,298,3.2,2,71,7.2,71,3.9,94.7,783254,5.9,5.8,0.4,4
58.1,2004,326,2,1.2,106,79.5,71,29.8,2,64,6.8,64,4,864.2,77752,6,5.9,0.4,3.7
58,2003,325,2,1,94.1,79.5,37,29.4,2,68,6.2,68,4.2,820,758615,6.1,5.9,0.4,3.5
57.9,2002,322,2,1,13.5,79.5,50,29,2,62,5.5,62,4.3,792.2,746221,6.2,6,0.4,3.3
57.7,2001,323,2,1,92.5,79.5,79,28.6,2,49,5.4,53,4.3,781.2,732711,6.3,6.1,0.4,2.9
57.4,2000,325,2,1.3,92,79.5,183,28.2,2,46,5.8,46,4.1,768.2,717584,6.4,6.1,0.4,2.9
69.3,2013,168.8,0,0,11.4,96,0,58.4,0,96,5.6,96,0.1,722.8,13452239.1,2.7,2.6,0.7,12.7
73.9,2015,152,6,4.3,0,81,0,58.9,7,87,6.1,85,0.3,6468.5,1528394,3.3,3.2,0.7,13.2
73.6,2014,154,6,5.9,1088.2,89,0,57.9,7,9,4.4,91,0.3,6268.7,145844,3.3,3.2,0.7,13.2
73.4,2013,157,6,5.9,97.5,8,0,56.8,7,82,4.1,83,0.3,627.6,1281296,3.3,3.2,0.7,13.2
72.1,2012,174,6,5.9,857.1,74,0,55.8,7,85,4.3,85,0.4,5968.9,115495,3.3,3.2,0.7,13.1
73.1,2011,16,6,5.9,843.8,8,2,54.7,7,84,4.2,84,0.7,5759.6,12795,3.3,3.2,0.7,13
72.7,2010,166,6,6,664.6,83,0,53.6,8,85,4.6,88,0.9,5451.7,9897985,3.3,3.3,0.7,12.9
73.6,2009,157,6,6.1,587.9,8,0,52.6,8,85,4.4,82,1.2,4952.7,9767758,3.4,3.3,0.7,12.9
73.3,2008,161,6,6.1,49.1,81,0,51.5,8,86,4.2,82,1.4,511.4,963652,3.4,3.3,0.7,12.8
72.9,2007,164,6,6.1,74.8,81,0,5.4,8,86,4.3,85,1.6,4647.3,954353,3.4,3.4,0.7,12.7
72.3,2006,178,7,6.2,353,84,0,49.3,8,88,4.3,89,1.8,3836.5,9371338,3.5,3.4,0.7,12.6
69.7,2005,28,7,5.7,289.7,87,0,48.2,8,86,4.3,87,2,3681.6,9237566,3.5,3.4,0.7,12.6
69.3,2004,214,7,5.2,182.6,82,0,47.2,8,66,4.3,79,2.1,2422,912998,3.6,3.5,0.7,12.5
73,2003,22,7,6.3,293,79,0,46.1,8,65,5.5,79,2.3,2372.6,896776,3.6,3.5,0.7,12.4
71.4,2002,189,7,6.4,4.7,63,0,45.1,8,74,5.8,82,2.4,38.5,8832285,3.7,3.6,0.7,12.3
71.2,2001,188,7,6.1,340,66,113,44.1,9,71,5.6,72,2.5,2862.2,8697126,3.8,3.6,0.7,12.3
72,2000,176,7,6.6,44.8,68,253,43.1,9,71,5.9,78,2.5,282.4,8562622,3.8,3.7,0.7,12.2
76.2,2015,118,6,4.3,0,78,0,54.2,7,84,6.1,78,0.1,625.6,16144368,1.2,1.1,0.7,14
76,2014,121,6,3.8,79.1,83,0,53.5,7,84,9.2,83,0.1,6432.2,1593112,1.2,1.1,0.7,14
76,2013,121,6,3.8,59.1,87,0,52.8,8,87,7.3,87,0.1,675,15661547,1.3,1.1,0.7,13.4
75.5,2012,127,7,3.9,41.9,88,72,52.1,8,85,6.5,87,0.1,572.1,15419666,1.3,1.2,0.7,13.3
75.3,2011,131,7,4,344.7,88,257,51.4,8,85,5.9,88,0.1,5223.4,15177355,1.3,1.2,0.7,13.2
75,2010,134,7,4,367.9,9,0,5.7,8,88,5.9,91,0.1,4657.3,1493469,1.3,1.2,0.7,13.1
75.1,2009,137,7,3.9,282.1,91,0,5,8,91,5.6,94,0.1,4255.6,14691275,1.3,1.2,0.7,13.1
74.6,2008,139,7,3.8,197.9,93,1,49.3,9,94,5.7,96,0.1,4275,14447562,1.3,1.2,0.7,13
74.7,2007,14,7,3.6,19.6,94,0,48.6,9,95,5.9,96,0.2,359.7,1425453,1.4,1.3,0.7,12.9
74.4,2006,144,8,3.5,19.1,96,0,47.9,9,92,5.9,96,0.3,335.8,1396748,1.4,1.3,0.7,12.8
74.2,2005,151,8,3.5,18.1,92,0,47.2,9,89,5.9,92,0.3,321.9,13735233,1.4,1.3,0.7,12.8
74.4,2004,148,8,3.7,16.4,88,0,46.5,9,9,6.2,88,0.3,278.6,1359647,1.5,1.3,0.7,12.7
74.4,2003,151,8,3.7,18.3,82,0,45.8,10,97,6.5,87,0.3,244.5,1328961,1.5,1.4,0.7,12.6
73.6,2002,157,8,3.9,187.4,75,0,45.1,10,88,4.6,88,0.3,2184,13726,1.5,1.4,0.7,12.5
73.4,2001,158,9,4.1,14.6,69,2,44.3,10,9,3.9,89,0.3,193.7,12852755,1.6,1.5,0.7,12.4
72.8,2000,163,9,4,84.2,36,0,43.6,11,83,3.4,87,0.3,1451.3,12628596,1.6,1.5,0.7,12.4
79,2015,159,51,4.3,0,93,5432,61.1,60,93,6.1,93,0.1,6938.3,13452239.1,2.8,2.8,0.7,13.1
78,2014,161,53,0.2,0,94,1314,6.2,62,94,5.6,94,0.1,6938.3,13452239.1,2.8,2.8,0.7,13.1
79,2013,159,54,0.2,0,97,405,59.4,63,97,5.5,97,0.1,6938.3,13452239.1,2.9,2.8,0.7,12.8
72,2012,165,54,0.2,0,93,245,58.6,64,93,5.3,93,0.1,6938.3,13452239.1,2.9,2.8,0.7,12.4
74,2011,168,55,0.2,0,96,26,57.8,64,96,5.4,96,0.1,6938.3,13452239.1,2.9,2.9,0.7,12.4
70,2010,173,54,0.2,0,97,16,57,64,97,4.8,97,0.1,6938.3,13452239.1,3,2.9,0.7,12.2
69.9,2009,174,54,0.2,0,97,608,56.2,64,97,5.1,97,0.1,6938.3,13452239.1,3,3,0.7,12
69.8,2008,172,54,0.2,0,97,668,55.5,65,97,4.8,97,0.1,6938.3,13452239.1,3.1,3,0.7,11.9
69.7,2007,171,55,0.2,0,98,1684,54.8,65,98,5,98,0.1,6938.3,13452239.1,3.1,3.1,0.6,11.7
69.5,2006,175,55,0.2,0,98,953,54.2,66,98,5.2,98,0.1,6938.3,13452239.1,3.2,3.1,0.6,11.5
